ESNTL_NO,TRGET_BOOK_MASTR_CD,TRGET_BOOK_ONE_MASTR_CD,TRGET_BOOK_TWO_MASTR_CD,LON_FQ_CO,PBLT_VALUE,SCORE_VALUE,REGIST_DE
"3408068-2031891","2031891,3408068","3408068","2031891","2263","0.0816613741339492","0.0","20211020"
"3408068-2617217","2617217,3408068","3408068","2617217","2164","0.07803541163319029","0.0","20211020"
"3408068-2375346","2375346,3408068","3408068","2375346","1975","0.11184098759839176","0.0","20211020"
"3408068-2862160","2862160,3408068","3408068","2862160","1959","0.09557029954141867","0.0","20211020"
"3408068-328039","328039,3408068","3408068","328039","1806","0.0717065036131184","0.0","20211020"
"3408068-3421838","3408068,3421838","3408068","3421838","1727","0.0345324028713683","0.0","20211020"
"3408068-186825","186825,3408068","3408068","186825","1710","0.05459595798346158","0.0","20211020"
"3408068-2386725","2386725,3408068","3408068","2386725","1667","0.10185750947085422","0.0","20211020"
"3408068-1060966","1060966,3408068","3408068","1060966","1666","0.05018374600879571","0.0","20211020"
"5956151-5220784","5220784,5956151","5956151","5220784","350","6.471556032026437E-5","0.0","20211020"
"5956151-5666934","5666934,5956151","5956151","5666934","188","0.00798471012953918","0.0","20211020"
"5956151-3805226","3805226,5956151","5956151","3805226","171","0.005591158775830499","0.0","20211020"
"5956151-5701219","5701219,5956151","5956151","5701219","159","0.011378273937312151","0.0","20211020"
"5956151-5708756","5708756,5956151","5956151","5708756","145","0.01844314423810735","0.0","20211020"
"5956151-5708865","5708865,5956151","5956151","5708865","140","0.008386246555648735","0.0","20211020"
"5956151-5943198","5943198,5956151","5956151","5943198","135","0.027239709443099273","0.0","20211020"
"5956151-5447767","5447767,5956151","5956151","5447767","134","0.00715238857752869","0.0","20211020"
"5956151-3200250","3200250,5956151","5956151","3200250","130","0.004835589941972921","0.0","20211020"
"5956151-5791237","5791237,5956151","5956151","5791237","127","0.012743327312863737","0.0","20211020"
"5609754-5609753","5609753,5609754","5609754","5609753","15213","0.46981254439331704","0.0","20211020"
"5609754-5518313","5518313,5609754","5609754","5518313","10394","0.2883137777038085","0.0","20211020"
"5609754-5699900","5609754,5699900","5609754","5699900","9786","0.36259216717922116","0.0","20211020"
"5609754-5518312","5518312,5609754","5609754","5518312","8848","0.24209259056583124","0.0","20211020"
"5609754-5439173","5439173,5609754","5609754","5439173","7725","0.184393946627202","0.0","20211020"
"5609754-5746636","5609754,5746636","5609754","5746636","6939","0.29038332775359893","0.0","20211020"
"5609754-5439175","5439175,5609754","5609754","5439175","6488","0.14867435092463163","0.0","20211020"
"5609754-5220784","5220784,5609754","5609754","5220784","5737","0.0010607804844495906","0.0","20211020"
"5609754-5823468","5609754,5823468","5609754","5823468","4329","0.24359912216532553","0.0","20211020"
"5609754-5643509","5609754,5643509","5609754","5643509","3285","0.13516849771633133","0.0","20211020"
"2007003-5220784","2007003,5220784","2007003","5220784","39","7.2111624356866006E-6","0.0","20211020"
"2007003-2422310","2007003,2422310","2007003","2422310","8","0.003631411711302769","0.0","20211020"
"2007003-1860082","1860082,2007003","2007003","1860082","7","0.001182033096926714","0.0","20211020"
"2007003-2444423","2007003,2444423","2007003","2444423","6","0.0025962786672436176","0.0","20211020"
"2007003-1039479","1039479,2007003","2007003","1039479","6","2.517306482064191E-4","0.0","20211020"
"2007003-3452417","2007003,3452417","2007003","3452417","5","0.004222972972972973","0.0","20211020"
"2007003-3099481","2007003,3099481","2007003","3099481","5","0.0015082956259426848","0.0","20211020"
"2007003-2477573","2007003,2477573","2007003","2477573","5","0.002352941176470588","0.0","20211020"
"3878120-5220784","3878120,5220784","3878120","5220784","128","2.3667404917125253E-5","0.0","20211020"
"3878120-3662695","3662695,3878120","3878120","3662695","84","0.07241379310344828","0.0","20211020"
"3878120-3748108","3748108,3878120","3878120","3748108","81","0.0605833956619297","0.0","20211020"
"3878120-3748197","3748197,3878120","3878120","3748197","76","0.05","0.0","20211020"
"3878120-3708804","3708804,3878120","3878120","3708804","73","0.08039647577092511","0.0","20211020"
"3878120-3674529","3674529,3878120","3878120","3674529","71","0.19613259668508287","0.0","20211020"
"3878120-2504647","2504647,3878120","3878120","2504647","65","0.05475989890480202","0.0","20211020"
"3878120-3605187","3605187,3878120","3878120","3605187","58","0.046736502820306204","0.0","20211020"
"3878120-3876703","3876703,3878120","3878120","3876703","47","0.12737127371273713","0.0","20211020"
"3878120-2514168","2514168,3878120","3878120","2514168","46","0.033503277494537506","0.0","20211020"
"3421461-5220784","3421461,5220784","3421461","5220784","10","1.8490160091504103E-6","0.0","20211020"
"3396093-5220784","3396093,5220784","3396093","5220784","30","5.547048027451232E-6","0.0","20211020"
"3396093-2429420","2429420,3396093","3396093","2429420","5","6.148548942449582E-4","0.0","20211020"
"3396093-926974","3396093,926974","3396093","926974","5","8.378016085790885E-4","0.0","20211020"
"3396093-5581487","3396093,5581487","3396093","5581487","5","0.23809523809523808","0.0","20211020"
"3396093-3386809","3386809,3396093","3396093","3386809","5","0.0010115314586283633","0.0","20211020"
"3396093-3159642","3159642,3396093","3396093","3159642","5","0.0015595757953836558","0.0","20211020"
"3396093-3708804","3396093,3708804","3396093","3708804","5","0.005506607929515419","0.0","20211020"
"5467181-5376762","5376762,5467181","5467181","5376762","55","0.4263565891472868","0.0","20211020"
"5467181-5550091","5467181,5550091","5467181","5550091","46","0.4423076923076923","0.0","20211020"
"5467181-5220784","5220784,5467181","5467181","5220784","16","2.9584256146406566E-6","0.0","20211020"
"5467181-5859028","5467181,5859028","5467181","5859028","12","0.3333333333333333","0.0","20211020"
"5467181-5477095","5467181,5477095","5467181","5477095","9","0.0025252525252525255","0.0","20211020"
"5467181-3069176","3069176,5467181","5467181","3069176","8","0.017204301075268817","0.0","20211020"
"5467181-3835440","3835440,5467181","5467181","3835440","7","0.001128850185453959","0.0","20211020"
"5467181-3171500","3171500,5467181","5467181","3171500","7","0.008383233532934131","0.0","20211020"
"5467181-3417426","3417426,5467181","5467181","3417426","7","0.010819165378670788","0.0","20211020"
"5467181-5623856","5467181,5623856","5467181","5623856","6","0.003036437246963563","0.0","20211020"
"5376762-5550091","5376762,5550091","5376762","5550091","60","0.5769230769230769","0.0","20211020"
"5376762-5467181","5376762,5467181","5376762","5467181","55","0.45081967213114754","0.0","20211020"
"5376762-5220784","5220784,5376762","5376762","5220784","22","4.067835220130903E-6","0.0","20211020"
"5376762-5477095","5376762,5477095","5376762","5477095","10","0.0028058361391694723","0.0","20211020"
"5376762-5859028","5376762,5859028","5376762","5859028","10","0.2777777777777778","0.0","20211020"
"5376762-3171500","3171500,5376762","5376762","3171500","9","0.010778443113772455","0.0","20211020"
"5376762-3417555","3417555,5376762","5376762","3417555","9","0.0011302273012683663","0.0","20211020"
"5376762-3673737","3673737,5376762","5376762","3673737","8","0.044444444444444446","0.0","20211020"
"5376762-5535232","5376762,5535232","5376762","5535232","8","0.3076923076923077","0.0","20211020"
"5376762-3835440","3835440,5376762","5376762","3835440","7","0.001128850185453959","0.0","20211020"
"2574421-2574422","2574421,2574422","2574421","2574422","227","0.45951417004048584","0.0","20211020"
"2574421-2501646","2501646,2574421","2574421","2501646","180","0.3225806451612903","0.0","20211020"
"2574421-3090561","2574421,3090561","2574421","3090561","130","0.42483660130718953","0.0","20211020"
"2574421-2694935","2574421,2694935","2574421","2694935","126","0.22950819672131148","0.0","20211020"
"2574421-5220784","2574421,5220784","2574421","5220784","73","1.3497816866797995E-5","0.0","20211020"
"2574421-926396","2574421,926396","2574421","926396","26","0.006825938566552901","0.0","20211020"
"2574421-3042241","2574421,3042241","2574421","3042241","24","0.05274725274725275","0.0","20211020"
"2574421-5363186","2574421,5363186","2574421","5363186","23","0.0164638511095204","0.0","20211020"
"2574421-2424965","2424965,2574421","2574421","2424965","23","0.008258527827648115","0.0","20211020"
"2574421-2424968","2424968,2574421","2574421","2424968","22","0.008928571428571428","0.0","20211020"
"2501646-2694935","2501646,2694935","2501646","2694935","201","0.366120218579235","0.0","20211020"
"2501646-2574422","2501646,2574422","2501646","2574422","196","0.3967611336032389","0.0","20211020"
"2501646-2574421","2501646,2574421","2501646","2574421","180","0.36072144288577157","0.0","20211020"
"2501646-5220784","2501646,5220784","2501646","5220784","129","2.3852306518040294E-5","0.0","20211020"
"2501646-3090561","2501646,3090561","2501646","3090561","110","0.35947712418300654","0.0","20211020"
"2501646-2530499","2501646,2530499","2501646","2530499","28","0.00954653937947494","0.0","20211020"
"2501646-2481602","2481602,2501646","2501646","2481602","27","0.00558659217877095","0.0","20211020"
"2501646-2574423","2501646,2574423","2501646","2574423","25","0.08064516129032258","0.0","20211020"
"2501646-2480919","2480919,2501646","2501646","2480919","24","0.0055274067250115156","0.0","20211020"
"2501646-2481374","2481374,2501646","2501646","2481374","24","0.005377548734035402","0.0","20211020"
"2574422-2574421","2574421,2574422","2574422","2574421","227","0.45490981963927857","0.0","20211020"
